name_en;name_en
Catanzaro;Italy
Cattolica;Italy
Cefalu;Italy
Cervia;Italy
Cesenatico;Italy
Mira;Italy
Imperia;Italy
Florence;Italy
Milan;Italy
Turin;Italy
Sicily;Italy
Agrigento;Italy
Alberobello;Italy
Alghero;Italy
Amalfi;Italy
Anacapri;Italy
Viserbella;Italy
Ancona;Italy
Aosta;Italy
Arcore;Italy
Assago;Italy
Bardolino;Italy
Barletta;Italy
Baveno;Italy
Bellaria;Italy
Bentivoglio;Italy
Bergamo;Italy
Binasco;Italy
Bologna;Italy
Bolzano;Italy
Brescia;Italy
Calenzano;Italy
Campogalliano;Italy
Canazei;Italy
Cannaregio;Italy
Cannigione;Italy
Carimate;Italy
Carmagnola;Italy
Como;Italy
Cornaredo;Italy
Costermano;Italy
Cusago;Italy
Elba;Italy
Ercolano;Italy
Erice;Italy
Ferrara;Italy
Fiesole;Italy
Frascati;Italy
Gaeta;Italy
Genoa;Italy
Grosseto;Italy
Grottaferrata;Italy
Grugliasco;Italy
Lampedusa;Italy
Latina;Italy
Lazio;Italy
Lecce;Italy
Letojanni;Italy
Linate;Italy
Lipari;Italy
Livorno;Italy
Lombardy;Italy
Marino;Italy
Martinsicuro;Italy
Matera;Italy
Mirano;Italy
Modica;Italy
Moncalieri;Italy
Monza;Italy
Naples;Italy
Napoli;Italy
Noto;Italy
Novara;Italy
Olbia;Italy
Oleggio;Italy
Orvieto;Italy
Padova;Italy
Palermo;Italy
Parma;Italy
Pero;Italy
Pesaro;Italy
Pescara;Italy
Piemonte;Italy
Pompei;Italy
Ponza;Italy
Portoferraio;Italy
Portoscuso;Italy
Lainate;Italy
Ravenna;Italy
Rho;Italy
Saronno;Italy
Lissone;Italy
Rome;Italy
Impruneta;Italy
Marghera;Italy
Salerno;Italy
Jesolo;Italy
Ciampino;Italy
Desenzano;Italy
Vimercate;Italy
